activity_tier,project_count,programme,official_website,source_resolves,dedicated_methodology_page,where_methodology_info_lives,methodology_model,approximate_count,evidence_urls,recommended_catalogue_action,recommended_ingestion_mode,confidence,assessment_basis,source_access_issue,creates_methodology_record,creates_supporting_links,creates_issue_record,review_status,notes,last_verified
mid,71,Economy of Love,https://eol.global,Yes,No,guideline document|adopted external methods,adopted external methodologies,unknown,"https://eol.global/whole-system-carbon-credit-methodologies/#:~:text=The%20Economy%20of%20Love%20Standard,requirements%20have%20to%20be%20met|https://eol.global/whole-system-carbon-credit-methodologies/#:~:text=EoL%20Afforestation%20%26%20Reforestation%20Requirements|https://eol.global/whole-system-carbon-credit-methodologies/#:~:text=Compost%20Production",store-adopted-pointer,adopted-method pointer,High,Observed,none,no,yes,no,pending_review,"Uses Cool Farm Tool and CDM/IPCC guidelines; no native protocols, so store pointer to external methods.",2026-07-03
mid,70,Applied Ecological Institute,https://aeinstitute.org,Yes,Partial,standard PDF|document library,single protocol / standard document,few,"https://www.aeinstitute.org/the-regenerative-standard#:~:text=The%20Regenerative%20Standard%E2%80%99s%20inaugural%20protocol,grassland%2C%20agricultural%2C%20and%20conservation%20lands",capture-document-family,semi-automated extraction,Medium,Observed,none,yes,yes,no,pending_review,Regenerative Standard page links to Soil Carbon Quantification Method versions; treat as small document family for capture.,2026-07-03
mid,22,Nori,https://nori.com,No,No,protocol PDF,single protocol document,one,ets.ctfassets.net/8b5bledpz9uj/1BRUD1uTArQcViKwtyhHM9/71f2470d5191631bd919b09fdd4990b5/Nori_Croplands_Methodology_1.4.pdf,capture-single-document,one-shot manual capture,Medium,Inferred,dead-url,yes,yes,yes,needs_research,Official site unreachable; only Croplands methodology PDF available; capture single document and monitor for updates.,2026-07-03
mid,21,Regenerative Agriculture Standard,https://regenagri.org,Yes,Partial,document library|standard PDF|protocol PDF|guideline document,document family,multiple,https://regenagri.org/standards-documents/#:~:text=Standards%20and%20Procedures%20Documents|regenagri.org/wp-content/uploads/2022/06/regenagri-Carbon-Standard-v1.0.pdf#:~:text=regenagri%20Carbon%20Standard%20v1,capture-document-family,semi-automated extraction,Medium,Observed,access-gated,yes,yes,yes,access_request,"Regenagri provides Carbon Standard, Guidelines, Assessment Methodology and other documents; some require contact; capture available documents and request access for gated ones.",2026-07-03
mid,17,Ecosystem Restoration Standard,https://eq-earth.com,Yes,Yes,dedicated methodology page|protocol PDF|document library,document family,few,"https://www.eq-earth.com/blog/ecosystem-restoration-standard-ers-rebrands-as-equitable-earth#:~:text=Paris%2C%20July%2021%2C%202025%20,restoration%20on%20the%20carbon%20markets|https://www.eq-earth.com/methodologies#:~:text=Methodologies%20refer%20to%20the%20specific,applicable%20across%20all%20project%20types",extract-native,automated connector,High,Observed,redirect,yes,yes,no,pending_review,ERS rebranded to Equitable Earth; methodologies page lists M001 (Terrestrial Forest Restoration) and M002 (Forest Conservation) with versioned documents.,2026-07-03
mid,17,Equitable Earth,https://eq-earth.com,Yes,Yes,dedicated methodology page|protocol PDF|document library,document family,few,"https://www.eq-earth.com/methodologies#:~:text=Methodologies%20refer%20to%20the%20specific,applicable%20across%20all%20project%20types|docs.ers.org/standard1.0/m001-methodology-for-terrestrial-forest-restoration.pdf#:~:text=ECOSYSTEM%20RESTORATION%20STANDARD%20%204,Template",extract-native,automated connector,High,Observed,none,yes,yes,no,pending_review,Equitable Earth (successor to ERS) provides M001 and M002 methodologies and guidance documents; suitable for automated extraction.,2026-07-03
mid,15,Art Tree,https://artredd.org,Yes,Yes,standard PDF|document library,single protocol / standard document,one,"https://artredd.org/standards/trees-3-0/#:~:text=In%20June%202026%2C%20the%20ART,reporting%2C%20improved%C2%A0readability%C2%A0and%20clearer%20requirements%20throughout|https://artredd.org/#:~:text=Our%20standard",capture-document-family,semi-automated extraction,High,Observed,none,yes,yes,no,pending_review,"ART’s TREES standard has versions 3.0, 2.0 and 1.0; capture the standard documents as a family.",2026-07-03
mid,15,Carbon Zero,https://carbonzero.ca,Yes,No,adopted external methods|guideline document,adopted external methodologies,unknown,https://www.carbonzero.ca/calculator-methodology#:~:text=Calculator%20Methodology,store-adopted-pointer,adopted-method pointer,High,Observed,none,no,yes,no,pending_review,Carbon Zero uses emissions factors from IPCC and national inventories; no proprietary offset methodologies; store pointer to external methodologies.,2026-07-03
mid,15,Credible Carbon,https://crediblecarbon.com,Yes,Yes,dedicated methodology page|protocol PDF,document family,multiple,"https://www.crediblecarbon.com/methodologies/#:~:text=Methodologies%20that%20make%20a%20good,project%20easier%20to%20submit|https://www.crediblecarbon.com/methodologies/#:~:text=The%20four%20methodologies|www.crediblecarbon.com/wp-content/uploads/2026/06/CC-M001-I_Inorganic_Waste_Methodology.pdf#:~:text=AFRICAN%20CARBON%20STANDARD",extract-native,automated connector,High,Observed,none,yes,yes,no,pending_review,"Credible Carbon’s methodology page lists four draft methodologies (inorganic waste, organic waste, renewable energy/efficiency, land & soil restoration) with downloadable documents.",2026-07-03
mid,13,Carbon Registry Thailand,https://registry.tgo.or.th,Partial,No,project registry/project pages,project-derived methodology references,unknown,,derive-from-project-pages,project-registry-derived,Medium,Observed,language/portal-complexity,partial,partial,yes,unresolved,Thailand’s TGO registry is a project database; there is no methodology page and language barrier complicates access; derive methods from individual project documents and monitor.,2026-07-03
