programme_name,url_to_verify,secondary_url_to_verify,verification_priority,what_to_check,expected_result_from_reports,disagreement_to_resolve,recommended_connector_if_verified
Climate Forward,https://climateforward.org/program/methodologies/,https://climateforward.org/program/program-manuals-and-project-forms/,Low,HTTP status; static HTML contains methodology/protocol records; count records; detect PDF links; determine if JS required; identify detail links; check if fields match reports.,7 forecast methodologies,Low. Reports broadly agree it is easy/static.,requests + BeautifulSoup static table/list parser with detail-page follow
American Carbon Registry (ACR),https://acrcarbon.org/methodologies/approved-methodologies/,https://acrcarbon.org/acr-program/acr-standard/,Low,HTTP status; static HTML contains methodology/protocol records; count records; detect PDF links; determine if JS required; identify detail links; check if fields match reports.,~13 active / ~20-25+ including broader status pages (report estimates vary),Low on feasibility; reports differ only on whether it should be first or second.,requests + BeautifulSoup table parser; follow detail pages for current PDF
Cercarbono,https://cercarbono.com/methodologies/,https://cercarbono.com/documents/,High,HTTP status; static HTML contains methodology/protocol records; count records; detect PDF links; determine if JS required; identify detail links; check if fields match reports.,~8 to 15+ if methodology page is live; otherwise only known PDFs,High. ChatGPT says no stable public consolidated list; Gemini/Claude say static cards exist.,Verify first. If page exists: static card parser + filename regex. If not: manual/PDF-source-resolution connector.
Social Carbon,https://socialcarbon.org/methodologies,https://socialcarbon.org/documentation,Low,HTTP status; static HTML contains methodology/protocol records; count records; detect PDF links; determine if JS required; identify detail links; check if fields match reports.,~10-12 methodologies,Low. Reports agree it is buildable and useful.,requests + BeautifulSoup index parser + detail-page crawler
Plan Vivo,https://www.planvivo.org/projects/certify-a-project/pvclimate/methodologies/approved-methodologies,https://www.planvivo.org/our-approach/technical-library/,Medium,HTTP status; static HTML contains methodology/protocol records; count records; detect PDF links; determine if JS required; identify detail links; check if fields match reports.,2 approved full methodologies plus modules/tools,High. ChatGPT/Claude find clear approved methods; Gemini treats it as scattered PDF library.,If approved-methodologies page is live: static card parser. If using technical library: PDF classifier.
Puro Earth,https://puro.earth/cdr-infrastructure/methodologies/,https://puro.earth/cdr-infrastructure/methodologies/document-library/,Medium,HTTP status; static HTML contains methodology/protocol records; count records; detect PDF links; determine if JS required; identify detail links; check if fields match reports.,~8-10 methodology categories/documents,Medium-High. Reports differ on whether JS is required.,Verify. If static cards: requests + BS4 card parser + detail follow. If dynamic library: Playwright/XHR intercept.
BioCarbon Registry (BCR),https://biocarbonstandard.com/en/methodologies/,https://biocarbonregistry.com/en/documents/ / https://biocarbonstandard.com/en/tools/ (reported),Medium,HTTP status; static HTML contains methodology/protocol records; count records; detect PDF links; determine if JS required; identify detail links; check if fields match reports.,~15+ / codes BCR000x,Medium. Reports differ on whether HTML has full codes/versions or PDFs do.,static link harvester + PDF metadata parser
ART/TREES,https://www.artredd.org/standards/trees-2-0/standard-and-templates/,https://www.artredd.org/resources/,Low,HTTP status; static HTML contains methodology/protocol records; count records; detect PDF links; determine if JS required; identify detail links; check if fields match reports.,"TREES standards/templates/version lineage, not many methodologies",Low. Reports agree it is not a normal catalogue.,"source-resolution/document-family connector, not normal MethodUnit extractor"
Isometric,https://registry.isometric.com/protocols,https://docs.isometric.com/ (API docs reported),Medium,HTTP status; static HTML contains methodology/protocol records; count records; detect PDF links; determine if JS required; identify detail links; check if fields match reports.,9-14 protocols plus ~25 modules/pathways depending report,Medium. ChatGPT says currently inaccessible; Claude says per-protocol pages/API leads exist.,hybrid: Playwright/sitemap slug enumeration + static per-protocol fetch; optional authenticated API if credentials exist
Credible Carbon,https://www.crediblecarbon.com/methodologies/,Not clear,High,HTTP status; static HTML contains methodology/protocol records; count records; detect PDF links; determine if JS required; identify detail links; check if fields match reports.,4 if methodology page valid; 0 proprietary if Claude is correct,Very high. ChatGPT/Gemini treat as four methodologies; Claude says no proprietary methodologies.,Verify before coding. Could be methodology list parser or project/credit intelligence connector.
