program_id,program_name,currently_in_workbook_inventory,currently_has_methodology_rows,current_methodology_row_count,official_organization,official_website,registry_url,method_source_url,method_source_found,terminology_used,source_type,connector_type,methodunit_count_visible_or_estimated,populated_source_status,extraction_strategy,automation_priority,maintenance_burden,refresh_frequency,login_required,public_metadata_accessible,human_review_required,confidence,evidence_urls,notes,extraction_wave
1,American Carbon Registry (ACR),Yes,Yes,13,Winrock International’s American Carbon Registry,https://americancarbonregistry.org,https://acr2.apx.com,https://acrcarbon.org/methodologies/approved-methodologies/,Yes,Methodology,catalog-first HTML,catalog-first HTML,13,populated,Scrape the methodologies listing and parse PDF details,High,Medium,Quarterly,No,Yes,Yes,High,"https://acrcarbon.org/methodologies/approved-methodologies/#:~:text=ACR%20methodologies%20are%20recognized%20as,voluntary%20or%20regulatory%20compliance%20purposes",Official page lists methodologies by sector; each links to a PDF document.,Wave 1: automate now
2,Applied Ecological Institute (AEI),Yes,No,0,Applied Ecological Institute / The Regenerative Standard,https://www.regen-registry.com,https://www.regen-registry.com,https://www.regen-registry.com/methodologies/soil-carbon,Yes,Methodology,PDF-first / document-first,single-method / small-standard manual profile,1,unresolved,Manual PDF extraction of the Soil Carbon Method,Low,Low,Annual,No,Yes,Yes,Medium,"https://www.registry.regen.network/crediting-protocols/aei-regenerative-soil-organic-carbon-methodology-for-rangeland-grassland-agricultural-and-conservation-lands#:~:text=AEI%20Regenerative%20Soil%20Organic%20Carbon,Grassland%2C%20Agricultural%2C%20and%20Conservation%20Lands",Regenerative Standard’s first methodology for soil carbon; draws on best practices and external standards.,Wave 3: manual onboarding
3,ART/TREES,Yes,No,0,Architecture for REDD+ Transactions (ART),https://www.artredd.org,,https://www.artredd.org/trees-standard,Partial,Standard (TREES),PDF-first / document-first,PDF-first / document-first,1,unresolved,Manual extraction from TREES standard documents,Low,Low,Annual,No,Yes,Yes,Medium,"https://www.art-redd.org/wp-content/uploads/2019/07/TREES-Standard-July-29-2019.pdf#:~:text=ABOUT%20ARCHITECTURE%20FOR%20REDD%2B%20TRANSACTIONS,term%20financial%20flows%20to",ART TREES provides a single jurisdictional standard rather than multiple methodologies.,Wave 3: manual onboarding
4,Artisan C-sink,Yes,No,0,Artisan C-sink program,,,Global Artisan C-Sink Guidelines for Carbon Sink Certification (PDF),Yes,Guidelines,PDF-first / document-first,single-method / small-standard manual profile,1,unresolved,Manual PDF extraction,Low,Low,Annual,No,Yes,Yes,Low,https://www.european-biochar.org/media/doc/139/artisan-c-sink-guidelines_v1_0.pdf,Guidelines define certification for artisan biochar production; limited scope.,Wave 3: manual onboarding
5,Asia Carbon Institute,Yes,No,0,Asia Carbon Institute,https://asiacarboninstitute.com,,https://asiacarboninstitute.com/methodologies,Yes,Methodology,catalog-first HTML,adopted-external-method source,10,unresolved,Scrape list of ACI and CDM methods; adopt external codes,Medium,Medium,Annual,No,Yes,Yes,Medium,https://www.asiacarboninstitute.org/methodologies#:~:text=Methodologies; ; https://www.asiacarboninstitute.org/methodologies#:~:text=ACI%20methodologies,List includes ACI-specific method A01-0001 plus CDM-derived methods.,Wave 2: semi-automate
6,Axon Protocol,Yes,No,0,,,,,,,,unclear / manual investigation required,,unresolved,Perform manual source investigation; no reliable public methodology source identified yet.,Low,Low,,,,Yes,Low,,Connector type was blank in the Agent Mode export; set to explicit unresolved category for workbench ingestion.,Wave 4: unresolved/monitor
7,BioCarbon Registry,Yes,Yes,8,BioCarbon Registry,https://biocarbonregistry.com,,https://biocarbonregistry.com/methodologies,Yes,Methodology,catalog-first HTML,catalog-first HTML,8,populated,Scrape sector-based method lists; parse PDF attachments,Medium,Medium,Annual,No,Yes,Yes,Medium,https://biocarbonstandard.com/en/methodologies/#:~:text=Methodologies,Adopts CDM methods for energy sector and provides own guidelines for AFOLU.,Wave 1: automate now
8,C-Capsule,Yes,Yes,1,C-Capsule Code,https://c-capsule.org,,C-Capsule Code QP-01 Methodology Approval Procedure (PDF),Partial,Methodology Approval Procedure,PDF-first / document-first,PDF-first / document-first,1,populated,Manual extraction of methodology approval procedure; no methods listed,Low,Low,Annual,No,Yes,Yes,Low,"https://c-capsule.com/documents/QP-01-C-Capsule-Methodology-Approval-Procedure-v2.0.pdf#:~:text=This%20document%20describes%20the%20approval,unintended%20use%20of%20obsolete%20Methodologies",Document describes methodology approval process but does not list specific methodologies.,Wave 3: manual onboarding
9,Carbon Registry in India,Yes,No,0,,,,,,,,duplicate / naming-cleanup issue,,duplicate-name-risk,Resolve duplicate/alias relationship before ingestion.,Low,Low,,,,Yes,Low,,Name appears to overlap with another programme; normalize before ingestion.,Wave 4: unresolved/monitor
10,Carbon Zero,Yes,No,0,,,,,,,,unclear / manual investigation required,,unresolved,Perform manual source investigation; no reliable public methodology source identified yet.,Low,Low,,,,Yes,Low,,Connector type was blank in the Agent Mode export; set to explicit unresolved category for workbench ingestion.,Wave 4: unresolved/monitor
11,CarbonClear,Yes,No,0,,,,,,,,unclear / manual investigation required,,unresolved,Perform manual source investigation; no reliable public methodology source identified yet.,Low,Low,,,,Yes,Low,,Connector type was blank in the Agent Mode export; set to explicit unresolved category for workbench ingestion.,Wave 4: unresolved/monitor
12,Carbon Registry Thailand (CRT),Yes,No,0,,,,,,,,duplicate / naming-cleanup issue,,duplicate-name-risk,Resolve duplicate/alias relationship before ingestion.,Low,Low,,,,Yes,Low,,Name appears to overlap with another programme; normalize before ingestion.,Wave 4: unresolved/monitor
13,Cercarbono,Yes,Yes,5,Cercarbono,https://cercarbono.com,https://cercarbono.com,https://cercarbono.com/methodologies/,Yes,Methodology,catalog-first HTML,catalog-first HTML,5,populated,Scrape approved and under-consultation methodologies; parse PDF documents,Medium,Medium,Annual,No,Yes,Yes,Medium,"https://cercarbono.com/wp-content/uploads/2026.03.09-Cercarbonos-Protocol-V-4.5.1.pdf#:~:text=6,for%20GHG%20removals%20or%20GHG",Cercarbono accepts CDM methodologies and develops its own; list is subject to public consultation.,Wave 1: automate now
14,China Certified Emission Reductions (CCER),Yes,No,0,,,,,,,,unclear / manual investigation required,,unresolved,Perform manual source investigation; no reliable public methodology source identified yet.,Low,Low,,,,Yes,Low,,Connector type was blank in the Agent Mode export; set to explicit unresolved category for workbench ingestion.,Wave 4: unresolved/monitor
15,City Forest Credits,Yes,No,0,City Forest Credits,https://www.cityforestcredits.org,https://www.cityforestcredits.org/carbon-credits/registry/,https://www.cityforestcredits.org/carbon-credits/carbon-protocols/,Yes,Standard / Protocol,PDF-first / document-first,single-method / small-standard manual profile,4,unresolved,"Manually curate the CFC Standard and protocol PDFs; extract version, status, and document links.",Low,Low,Annual,No,Yes,Yes,High,https://www.cityforestcredits.org/carbon-credits/carbon-protocols/,Small protocol family: CFC Standard plus preservation and afforestation/reforestation protocols.,Wave 3: manual onboarding
16,Clean Development Mechanism (CDM),Yes,Yes,222,UNFCCC Clean Development Mechanism,https://cdm.unfccc.int,https://cdm.unfccc.int/projects,https://cdm.unfccc.int/methodologies/index.html,Yes,Methodology,catalog-first HTML & PDF,catalog-first HTML,222,populated,"Scrape and parse approved large-scale, small-scale and afforestation methodologies; download PDFs",High,High,Quarterly,No,Yes,Yes,High,"https://cdm.unfccc.int/methodologies/index.html#:~:text=CDM%20Methodology%20Booklet%3A%20The%20function,suitable%20for%20their%20project%20activities",Largest catalogue; includes numerous sectoral methodologies with periodic updates.,Wave 1: automate now
17,Climate Action Reserve,Yes,No,0,Climate Action Reserve,https://www.climateactionreserve.org,https://thereserve2.apx.com,https://www.climateactionreserve.org/how/protocols,Yes,Protocol,catalog-first HTML,catalog-first HTML,25,unresolved,Scrape sector-specific protocol lists with version and status; parse associated documents,High,Medium,Semiannual,No,Yes,Yes,High,"https://climateactionreserve.org/how/protocols/#:~:text=,Industrial%20Processes%20and%20Gases; ; https://climateactionreserve.org/how/protocols/#:~:text=Waste%20Handling%20and%20Methane%20Destruction","Protocols include forestry, agriculture, livestock, and waste sectors; each with active and archived versions.",Wave 1: automate now
